(0, 700 ns, 700 ns)
(1, 400 ns, 300 ns)
(2, 300 ns, 400 ns)
(3, 100 ns, 200 ns)
(4, 200 ns, 300 ns)
(5, 200 ns, 200 ns)
(6, 100 ns, 200 ns)
(7, 200 ns, 300 ns)
(8, 500 ns, 500 ns)
(9, 100 ns, 300 ns)
(10, 600 ns, 600 ns)
(11, 100 ns, 100 ns)
(12, 300 ns, 200 ns)
(13, 300 ns, 300 ns)
(14, 200 ns, 300 ns)
(15, 200 ns, 200 ns)
(16, 100 ns, 200 ns)
(17, 500 ns, 500 ns)
(18, 400 ns, 500 ns)
(19, 400 ns, 400 ns)
(20, 300 ns, 400 ns)
(21, 200 ns, 100 ns)
(22, 400 ns, 300 ns)
(23, 400 ns, 500 ns)
(24, 700 ns, 800 ns)
(25, 200 ns, 300 ns)
(26, 600 ns, 600 ns)
(27, 400 ns, 400 ns)
(28, 300 ns, 300 ns)
(29, 400 ns, 400 ns)
(30, 100 ns, 100 ns)
(31, 300 ns, 400 ns)
(32, 400 ns, 400 ns)
(33, 300 ns, 300 ns)
(34, 500 ns, 400 ns)
(35, 100 ns, 100 ns)
(36, 300 ns, 400 ns)
(37, 200 ns, 500 ns)
(38, 700 ns, 600 ns)
(39, 1100 ns, 1100 ns)
(40, 1000 ns, 900 ns)
(41, 200 ns, 200 ns)
(42, 2000 ns, 2200 ns)
(43, 500 ns, 300 ns)
(44, 100 ns, 100 ns)
(45, 600 ns, 600 ns)
(46, 900 ns, 1100 ns)
(47, 400 ns, 400 ns)
(48, 200 ns, 300 ns)
(49, 300 ns, 200 ns)
(50, 300 ns, 400 ns)
(51, 300 ns, 300 ns)
(52, 200 ns, 300 ns)
(53, 400 ns, 300 ns)
(54, 200 ns, 300 ns)
(55, 300 ns, 400 ns)
(56, 300 ns, 300 ns)
(57, 200 ns, 200 ns)
(58, 200 ns, 100 ns)
(59, 300 ns, 300 ns)
(60, 300 ns, 400 ns)
(61, 300 ns, 300 ns)
(62, 300 ns, 200 ns)
(63, 100 ns, 100 ns)
(64, 200 ns, 200 ns)
(65, 300 ns, 300 ns)
(66, 200 ns, 100 ns)
(67, 500 ns, 500 ns)
(68, 300 ns, 200 ns)
(69, 400 ns, 300 ns)
(70, 200 ns, 100 ns)
(71, 600 ns, 500 ns)
(72, 600 ns, 600 ns)
(73, 300 ns, 400 ns)
(74, 700 ns, 800 ns)
(75, 100 ns, 100 ns)
(76, 500 ns, 500 ns)
(77, 300 ns, 300 ns)
(78, 400 ns, 300 ns)
(79, 200 ns, 200 ns)
(80, 300 ns, 300 ns)
(81, 300 ns, 400 ns)
(82, 300 ns, 200 ns)
(83, 200 ns, 300 ns)
(84, 300 ns, 300 ns)
(85, 300 ns, 300 ns)
(86, 200 ns, 100 ns)
(87, 200 ns, 200 ns)
(88, 800 ns, 700 ns)
(89, 400 ns, 400 ns)
(90, 200 ns, 300 ns)
(91, 200 ns, 100 ns)
(92, 400 ns, 400 ns)
(93, 500 ns, 400 ns)
(94, 500 ns, 400 ns)
(95, 200 ns, 200 ns)
(96, 400 ns, 400 ns)
(97, 300 ns, 200 ns)
(98, 300 ns, 300 ns)
(99, 400 ns, 400 ns)
